antecedent_movie,antecedent_rating,consequent_movie,consequent_rating,support,confidence,lift,antecedent_support,consequent_support,zhangs_metric,jaccard,certainty,kulczynski
Forrest Gump (1994),high,"Shawshank Redemption, The (1994)",high,0.0154934489114731,0.1649867374005305,1.4582909642628132,0.0939072385791859,0.1131370497683455,0.3468362235939458,0.0808842652795838,0.0584641489630855,0.1509654074497148
"Shawshank Redemption, The (1994)",high,Forrest Gump (1994),high,0.0154934489114731,0.1369440774988991,1.458290964262813,0.1131370497683455,0.0939072385791859,0.3543566585061615,0.0808842652795838,0.0474971666832748,0.1509654074497148
Pulp Fiction (1994),high,Forrest Gump (1994),high,0.0126039954167289,0.1323221757322175,1.4090732273065272,0.095252328999153,0.0939072385791859,0.3208780575498076,0.0713882618510158,0.0423962521152849,0.1332698411817586
Forrest Gump (1994),high,Pulp Fiction (1994),high,0.0126039954167289,0.1342175066312997,1.4090732273065272,0.0939072385791859,0.095252328999153,0.3204017155906122,0.0713882618510158,0.0430674528170298,0.1332698411817586
"Silence of the Lambs, The (1991)",high,"Shawshank Redemption, The (1994)",high,0.0161909032033079,0.1808569838619922,1.5985654940826812,0.0895232401733672,0.1131370497683455,0.4112561240466689,0.0868287469943895,0.076358961749341,0.1619828732608067
"Shawshank Redemption, The (1994)",high,"Silence of the Lambs, The (1991)",high,0.0161909032033079,0.1431087626596213,1.5985654940826812,0.1131370497683455,0.0895232401733672,0.4222063208109719,0.0868287469943895,0.0588543550485105,0.1619828732608067
Forrest Gump (1994),high,"Silence of the Lambs, The (1991)",high,0.0115079958152742,0.1225464190981432,1.3688782807774231,0.0939072385791859,0.0895232401733672,0.2974031686369492,0.0669371196754563,0.0362702052176093,0.1255469991984873
"Silence of the Lambs, The (1991)",high,Forrest Gump (1994),high,0.0115079958152742,0.1285475792988313,1.368878280777423,0.0895232401733672,0.0939072385791859,0.2959711551307087,0.0669371196754563,0.0382304574040819,0.1255469991984873
Pulp Fiction (1994),high,"Silence of the Lambs, The (1991)",high,0.0147461764559358,0.1548117154811715,1.7292907984716506,0.095252328999153,0.0895232401733672,0.4661280409311904,0.0867272194550249,0.0717080085824883,0.1597653457762006
"Silence of the Lambs, The (1991)",high,Pulp Fiction (1994),high,0.0147461764559358,0.1647189760712298,1.7292907984716508,0.0895232401733672,0.095252328999153,0.4631949743571542,0.0867272194550249,0.076780133620274,0.1597653457762006
"Matrix, The (1999)",high,"Silence of the Lambs, The (1991)",high,0.0113087231604643,0.1239082969432314,1.38409084281663,0.0912668759029542,0.0895232401733672,0.3053746618633001,0.0667254556143445,0.0377659906183784,0.125114972066496
"Silence of the Lambs, The (1991)",high,"Matrix, The (1999)",high,0.0113087231604643,0.1263216471897607,1.38409084281663,0.0895232401733672,0.0912668759029542,0.3047898449906138,0.0667254556143445,0.0385754302965882,0.125114972066496
"Shawshank Redemption, The (1994)",high,Schindler's List (1993),high,0.0146963582922333,0.1298987230295024,1.7348350414978058,0.1131370497683455,0.0748767000448363,0.4776119232461025,0.0847944811727507,0.0594753401923102,0.1630864207296547
Schindler's List (1993),high,"Shawshank Redemption, The (1994)",high,0.0146963582922333,0.196274118429807,1.7348350414978058,0.0748767000448363,0.1131370497683455,0.4578593138194463,0.0847944811727507,0.0937428591866934,0.1630864207296547
Forrest Gump (1994),high,Schindler's List (1993),high,0.0124545409256214,0.1326259946949602,1.7712585439201174,0.0939072385791859,0.0748767000448363,0.4805575104464483,0.0796685787125557,0.0624233490313374,0.1494799966821441
Schindler's List (1993),high,Forrest Gump (1994),high,0.0124545409256214,0.166333998669328,1.7712585439201176,0.0748767000448363,0.0939072385791859,0.4706720516962844,0.0796685787125557,0.0799330523031351,0.1494799966821441
"Silence of the Lambs, The (1991)",high,Schindler's List (1993),high,0.0115578139789767,0.129104062326099,1.724222117812233,0.0895232401733672,0.0748767000448363,0.4613278862046324,0.075619295958279,0.0586163620394069,0.1417310065456177
Schindler's List (1993),high,"Silence of the Lambs, The (1991)",high,0.0115578139789767,0.1543579507651364,1.724222117812233,0.0748767000448363,0.0895232401733672,0.454024149072475,0.075619295958279,0.0712096271453591,0.1417310065456177
Pulp Fiction (1994),high,Schindler's List (1993),high,0.0115079958152742,0.1208158995815899,1.6135313055896576,0.095252328999153,0.0748767000448363,0.4202733558495906,0.0725502512562814,0.0496573803070142,0.1372542571760245
Schindler's List (1993),high,Pulp Fiction (1994),high,0.0115079958152742,0.1536926147704591,1.6135313055896576,0.0748767000448363,0.095252328999153,0.4110169313723433,0.0725502512562814,0.0645929109788792,0.1372542571760245
Schindler's List (1993),high,Fight Club (1999),high,0.0084192696657201,0.1124417831004657,1.3949591546203022,0.0748767000448363,0.0806057888706222,0.3060490770569061,0.0572493224932249,0.0346271423557653,0.1084458606478842
