group_id,antecedent_movie,antecedent_rating,consequent_movie,consequent_rating,support,confidence,lift
Group1,Forrest Gump (1994),high,,,,,
Group1,,,"Shawshank Redemption, The (1994)",high,0.015493448911473123,0.16498673740053052,1.4582909642628132
Group2,"Shawshank Redemption, The (1994)",high,,,,,
Group2,,,Forrest Gump (1994),high,0.015493448911473123,0.13694407749889914,1.458290964262813
Group3,Pulp Fiction (1994),high,,,,,
Group3,,,Forrest Gump (1994),high,0.01260399541672894,0.13232217573221758,1.4090732273065272
Group4,Forrest Gump (1994),high,,,,,
Group4,,,Pulp Fiction (1994),high,0.01260399541672894,0.13421750663129975,1.4090732273065272
Group5,"Silence of the Lambs, The (1991)",high,,,,,
Group5,,,"Shawshank Redemption, The (1994)",high,0.016190903203307926,0.1808569838619922,1.5985654940826812
Group6,"Shawshank Redemption, The (1994)",high,,,,,
Group6,,,"Silence of the Lambs, The (1991)",high,0.016190903203307926,0.1431087626596213,1.5985654940826812
Group7,Forrest Gump (1994),high,,,,,
Group7,,,"Silence of the Lambs, The (1991)",high,0.01150799581527425,0.12254641909814325,1.3688782807774231
Group8,"Silence of the Lambs, The (1991)",high,,,,,
Group8,,,Forrest Gump (1994),high,0.01150799581527425,0.12854757929883137,1.368878280777423
Group9,Pulp Fiction (1994),high,,,,,
Group9,,,"Silence of the Lambs, The (1991)",high,0.014746176455935834,0.15481171548117154,1.7292907984716506
Group10,"Silence of the Lambs, The (1991)",high,,,,,
Group10,,,Pulp Fiction (1994),high,0.014746176455935834,0.16471897607122982,1.7292907984716508
Group11,"Matrix, The (1999)",high,,,,,
Group11,,,"Silence of the Lambs, The (1991)",high,0.011308723160464305,0.12390829694323142,1.38409084281663
Group12,"Silence of the Lambs, The (1991)",high,,,,,
Group12,,,"Matrix, The (1999)",high,0.011308723160464305,0.1263216471897607,1.38409084281663
Group13,"Shawshank Redemption, The (1994)",high,,,,,
Group13,,,Schindler's List (1993),high,0.014696358292233348,0.12989872302950242,1.7348350414978058
Group14,Schindler's List (1993),high,,,,,
Group14,,,"Shawshank Redemption, The (1994)",high,0.014696358292233348,0.19627411842980705,1.7348350414978058
Group15,Forrest Gump (1994),high,,,,,
Group15,,,Schindler's List (1993),high,0.012454540925621482,0.13262599469496023,1.7712585439201174
Group16,Schindler's List (1993),high,,,,,
Group16,,,Forrest Gump (1994),high,0.012454540925621482,0.16633399866932802,1.7712585439201176
Group17,"Silence of the Lambs, The (1991)",high,,,,,
Group17,,,Schindler's List (1993),high,0.011557813978976735,0.12910406232609906,1.724222117812233
Group18,Schindler's List (1993),high,,,,,
Group18,,,"Silence of the Lambs, The (1991)",high,0.011557813978976735,0.1543579507651364,1.724222117812233
Group19,Pulp Fiction (1994),high,,,,,
Group19,,,Schindler's List (1993),high,0.01150799581527425,0.12081589958158996,1.6135313055896576
Group20,Schindler's List (1993),high,,,,,
Group20,,,Pulp Fiction (1994),high,0.01150799581527425,0.1536926147704591,1.6135313055896576
Group21,Schindler's List (1993),high,,,,,
Group21,,,Fight Club (1999),high,0.008419269665720121,0.11244178310046574,1.3949591546203022
Group22,Fight Club (1999),high,,,,,
Group22,,,Schindler's List (1993),high,0.008419269665720121,0.10444993819530285,1.3949591546203022
Group23,"Matrix, The (1999)",high,,,,,
Group23,,,Schindler's List (1993),high,0.008170178847207691,0.08951965065502182,1.1955608433787446
Group24,Schindler's List (1993),high,,,,,
Group24,,,"Matrix, The (1999)",high,0.008170178847207691,0.10911510312707917,1.1955608433787446
Group25,"Silence of the Lambs, The (1991)",high,,,,,
Group25,,,Terminator 2: Judgment Day (1991),high,0.009913814576794699,0.11074012242626599,1.785450985913604
Group26,Terminator 2: Judgment Day (1991),high,,,,,
Group26,,,"Silence of the Lambs, The (1991)",high,0.009913814576794699,0.15983935742971886,1.785450985913604
Group27,Forrest Gump (1994),high,,,,,
Group27,,,Terminator 2: Judgment Day (1991),high,0.009764360085687242,0.10397877984084881,1.6764385925665528
Group28,Terminator 2: Judgment Day (1991),high,,,,,
Group28,,,Forrest Gump (1994),high,0.009764360085687242,0.157429718875502,1.6764385925665526
Group29,"Shawshank Redemption, The (1994)",high,,,,,
Group29,,,Terminator 2: Judgment Day (1991),high,0.009614905594579783,0.08498458828709818,1.3701973017565636
Group30,Terminator 2: Judgment Day (1991),high,,,,,
Group30,,,"Shawshank Redemption, The (1994)",high,0.009614905594579783,0.15502008032128511,1.3701973017565636
Group31,Pulp Fiction (1994),high,,,,,
Group31,,,Terminator 2: Judgment Day (1991),high,0.008967269466447467,0.09414225941422595,1.5178454403387611
Group32,Terminator 2: Judgment Day (1991),high,,,,,
Group32,,,Pulp Fiction (1994),high,0.008967269466447467,0.14457831325301204,1.517845440338761
Group33,"Matrix, The (1999)",high,,,,,
Group33,,,Terminator 2: Judgment Day (1991),high,0.008767996811637523,0.09606986899563318,1.5489240806018834
Group34,Terminator 2: Judgment Day (1991),high,,,,,
Group34,,,"Matrix, The (1999)",high,0.008767996811637523,0.14136546184738955,1.5489240806018834
Group35,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group35,,,Terminator 2: Judgment Day (1991),high,0.00782145170129029,0.1253993610223642,2.0218003002425036
Group36,Terminator 2: Judgment Day (1991),high,,,,,
Group36,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.00782145170129029,0.12610441767068273,2.0218003002425036
Group37,Star Wars: Episode V - The Empire Strikes Back (1980),high,,,,,
Group37,,,Terminator 2: Judgment Day (1991),high,0.00807054251980272,0.11824817518248175,1.9065025063758683
Group38,Terminator 2: Judgment Day (1991),high,,,,,
Group38,,,Star Wars: Episode V - The Empire Strikes Back (1980),high,0.00807054251980272,0.13012048192771083,1.9065025063758683
Group39,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),high,,,,,
Group39,,,Terminator 2: Judgment Day (1991),high,0.008120360683505206,0.12255639097744361,1.9759634024821089
Group40,Terminator 2: Judgment Day (1991),high,,,,,
Group40,,,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),high,0.008120360683505206,0.13092369477911645,1.9759634024821087
Group41,Star Wars: Episode IV - A New Hope (1977),high,,,,,
Group41,,,Terminator 2: Judgment Day (1991),high,0.007622179046480347,0.09795134443021768,1.5792589050182806
Group42,Terminator 2: Judgment Day (1991),high,,,,,
Group42,,,Star Wars: Episode IV - A New Hope (1977),high,0.007622179046480347,0.12289156626506025,1.5792589050182806
Group43,Ace Ventura: When Nature Calls (1995),low,,,,,
Group43,,,"Shawshank Redemption, The (1994)",high,0.0075723608827778606,0.15816857440166493,1.3980263293547424
Group44,"Shawshank Redemption, The (1994)",high,,,,,
Group44,,,Ace Ventura: When Nature Calls (1995),low,0.0075723608827778606,0.06693086745926904,1.3980263293547424
Group45,Dumb & Dumber (Dumb and Dumber) (1994),low,,,,,
Group45,,,Ace Ventura: When Nature Calls (1995),low,0.017535993623275046,0.3302063789868668,6.897224396881765
Group46,Ace Ventura: When Nature Calls (1995),low,,,,,
Group46,,,Dumb & Dumber (Dumb and Dumber) (1994),low,0.017535993623275046,0.3662851196670135,6.897224396881765
Group47,Ace Ventura: When Nature Calls (1995),low,,,,,
Group47,,,Star Wars: Episode I - The Phantom Menace (1999),low,0.007273451900562946,0.15192507804370448,3.11819232267002
Group48,Star Wars: Episode I - The Phantom Menace (1999),low,,,,,
Group48,,,Ace Ventura: When Nature Calls (1995),low,0.007273451900562946,0.14928425357873212,3.1181923226700206
Group49,Ace Ventura: Pet Detective (1994),low,,,,,
Group49,,,Ace Ventura: When Nature Calls (1995),low,0.021471628555771435,0.3824312333629104,7.988077156393028
Group50,Ace Ventura: When Nature Calls (1995),low,,,,,
Group50,,,Ace Ventura: Pet Detective (1994),low,0.021471628555771435,0.44849115504682624,7.988077156393028
Group51,Pulp Fiction (1994),high,,,,,
Group51,,,Ace Ventura: When Nature Calls (1995),low,0.007373088227967917,0.07740585774058577,1.6168239151163144
Group52,Ace Ventura: When Nature Calls (1995),low,,,,,
Group52,,,Pulp Fiction (1994),high,0.007373088227967917,0.15400624349635794,1.6168239151163144
Group53,Ace Ventura: Pet Detective (1994),low,,,,,
Group53,Dumb & Dumber (Dumb and Dumber) (1994),low,,,,,
Group53,,,Ace Ventura: When Nature Calls (1995),low,0.012305086434514024,0.5266524520255864,11.000514744546926
Group54,Dumb & Dumber (Dumb and Dumber) (1994),low,,,,,
Group54,Ace Ventura: When Nature Calls (1995),low,,,,,
Group54,,,Ace Ventura: Pet Detective (1994),low,0.012305086434514024,0.7017045454545454,12.498061526982333
Group55,Ace Ventura: Pet Detective (1994),low,,,,,
Group55,Ace Ventura: When Nature Calls (1995),low,,,,,
Group55,,,Dumb & Dumber (Dumb and Dumber) (1994),low,0.012305086434514024,0.5730858468677493,10.791324769396184
Group56,Dumb & Dumber (Dumb and Dumber) (1994),low,,,,,
Group56,,,Ace Ventura: Pet Detective (1994),low,0.012305086434514024,0.23170731707317072,10.791324769396185
Group56,,,Ace Ventura: When Nature Calls (1995),low,0.012305086434514024,0.23170731707317072,10.791324769396185
Group57,Ace Ventura: Pet Detective (1994),low,,,,,
Group57,,,Dumb & Dumber (Dumb and Dumber) (1994),low,0.012305086434514024,0.21916592724046138,12.498061526982333
Group57,,,Ace Ventura: When Nature Calls (1995),low,0.012305086434514024,0.21916592724046138,12.498061526982333
Group58,Ace Ventura: When Nature Calls (1995),low,,,,,
Group58,,,Ace Ventura: Pet Detective (1994),low,0.012305086434514024,0.2570239334027055,11.000514744546926
Group58,,,Dumb & Dumber (Dumb and Dumber) (1994),low,0.012305086434514024,0.2570239334027055,11.000514744546926
Group59,Forrest Gump (1994),high,,,,,
Group59,,,"Lion King, The (1994)",high,0.007074179245753001,0.0753315649867374,1.897277922181656
Group60,"Lion King, The (1994)",high,,,,,
Group60,,,Forrest Gump (1994),high,0.007074179245753001,0.178168130489335,1.897277922181656
Group61,Ace Ventura: When Nature Calls (1995),low,,,,,
Group61,,,Beverly Hills Cop III (1994),low,0.007422906391670403,0.1550468262226847,6.721932921745032
Group62,Beverly Hills Cop III (1994),low,,,,,
Group62,,,Ace Ventura: When Nature Calls (1995),low,0.007422906391670403,0.32181425485961124,6.721932921745032
Group63,Ace Ventura: When Nature Calls (1995),low,,,,,
Group63,,,Addams Family Values (1993),low,0.007671997210182833,0.16024973985431842,7.533238941676192
Group64,Addams Family Values (1993),low,,,,,
Group64,,,Ace Ventura: When Nature Calls (1995),low,0.007671997210182833,0.36065573770491804,7.533238941676191
Group65,"Matrix, The (1999)",high,,,,,
Group65,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.008817814975340009,0.09661572052401746,1.5490154617241232
Group66,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group66,,,"Matrix, The (1999)",high,0.008817814975340009,0.14137380191693288,1.5490154617241232
Group67,Pulp Fiction (1994),high,,,,,
Group67,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.008718178647935037,0.09152719665271966,1.467432442819522
Group68,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group68,,,Pulp Fiction (1994),high,0.008718178647935037,0.13977635782747602,1.467432442819522
Group69,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group69,,,"Shawshank Redemption, The (1994)",high,0.00782145170129029,0.1253993610223642,1.1083845767511742
Group70,"Shawshank Redemption, The (1994)",high,,,,,
Group70,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.00782145170129029,0.06913254073095552,1.1083845767511742
Group71,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group71,,,"Lord of the Rings: The Fellowship of the Ring, The (2001)",high,0.008269815174612664,0.13258785942492013,1.9202280679916464
Group72,"Lord of the Rings: The Fellowship of the Ring, The (2001)",high,,,,,
Group72,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.008269815174612664,0.11976911976911979,1.9202280679916466
Group73,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group73,,,Star Wars: Episode IV - A New Hope (1977),high,0.013052358890051312,0.2092651757188498,2.689231672346013
Group74,Star Wars: Episode IV - A New Hope (1977),high,,,,,
Group74,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.013052358890051312,0.1677336747759283,2.689231672346013
Group75,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group75,,,Forrest Gump (1994),high,0.008269815174612664,0.13258785942492013,1.411902441504733
Group76,Forrest Gump (1994),high,,,,,
Group76,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.008269815174612664,0.08806366047745359,1.4119024415047332
Group77,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group77,,,Star Wars: Episode V - The Empire Strikes Back (1980),high,0.012155631943406566,0.19488817891373802,2.8554674564492433
Group78,Star Wars: Episode V - The Empire Strikes Back (1980),high,,,,,
Group78,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.012155631943406566,0.1781021897810219,2.8554674564492433
Group79,Star Wars: Episode VI - Return of the Jedi (1983),high,,,,,
Group79,,,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),high,0.010013450904199672,0.16054313099041534,2.4229941867448175
Group80,Raiders of the Lost Ark (Indiana Jones and the Raiders of the Lost Ark) (1981),high,,,,,
Group80,,,Star Wars: Episode VI - Return of the Jedi (1983),high,0.010013450904199672,0.1511278195488722,2.4229941867448175
Group81,"Lord of the Rings: The Fellowship of the Ring, The (2001)",high,,,,,
Group81,,,"Lord of the Rings: The Two Towers, The (2002)",high,0.013052358890051312,0.18903318903318903,3.0874395471628993
